iter	Logloss
0	0.6118587646
1	0.5416969998
2	0.4825483768
3	0.4285780819
4	0.3784464631
5	0.3386053226
6	0.2997048408
7	0.2696274478
8	0.2422328647
9	0.21751686
10	0.1987834111
11	0.1798718863
12	0.1659270982
13	0.1514092254
14	0.1389105609
15	0.1291398213
16	0.1195674494
17	0.1118148666
18	0.1041564834
19	0.0969346517
20	0.09187057297
21	0.08612175405
22	0.08163268302
23	0.07827329858
24	0.07465679393
25	0.07175577863
26	0.06931806393
27	0.06526709289
28	0.06331392569
29	0.0615993097
30	0.06008917873
31	0.05850408018
32	0.05719453188
33	0.05568880663
34	0.05438659648
35	0.05218577926
36	0.05092498866
37	0.04950170874
38	0.04782790785
39	0.04730325626
40	0.04646455818
41	0.04572710892
42	0.04480664155
43	0.04397410774
44	0.04327010672
45	0.04290615755
46	0.04217295626
47	0.04146163795
48	0.04097186473
49	0.04009730181
50	0.03901269659
51	0.03809812107
52	0.03763438139
53	0.03729784542
54	0.03690733067
55	0.03633938942
56	0.03563141729
57	0.03527635351
58	0.03497839088
59	0.03454707695
60	0.03415415199
61	0.03387138884
62	0.03349748202
63	0.0331912941
64	0.03274710765
65	0.03247378744
66	0.03223548411
67	0.03162934283
68	0.03134171369
69	0.03093811028
70	0.03045619255
71	0.03011591582
72	0.02989337297
73	0.02952884994
74	0.02932718643
75	0.02877201074
76	0.02849470205
77	0.02828233753
78	0.02779285195
79	0.02706056188
80	0.02682888983
81	0.0263496614
82	0.02607914676
83	0.02572674421
84	0.02543607624
85	0.02522527576
86	0.02485692175
87	0.02455527987
88	0.02434467684
89	0.02407983163
90	0.0237797629
91	0.0235398381
92	0.02346814184
93	0.02311064032
94	0.02290544747
95	0.02264744841
96	0.02249106666
97	0.02226831865
98	0.02208550813
99	0.02183776672
100	0.0214409178
101	0.02124737934
102	0.02111262576
103	0.02090533661
104	0.02065167925
105	0.02042347501
106	0.02026116566
107	0.02009161266
108	0.01982186874
109	0.01952467054
110	0.01925957185
111	0.01889097005
112	0.01878499781
113	0.01858610348
114	0.01846078478
115	0.01820480515
116	0.01796179857
117	0.01780929885
118	0.01756511246
119	0.01740852862
120	0.01715383014
121	0.01704447559
122	0.01686635132
123	0.01673066112
124	0.01663407925
125	0.0165087742
126	0.01635009197
127	0.0162206763
128	0.01603487353
129	0.01584669367
130	0.01564791578
131	0.01549867093
132	0.01531785593
133	0.01513971819
134	0.01497679548
135	0.01485093225
136	0.01462948874
137	0.01449844464
138	0.01440241699
139	0.01428254804
140	0.01410543174
141	0.01394584956
142	0.01383387729
143	0.01350540369
144	0.0133739067
145	0.0132431156
146	0.01312519426
147	0.01294531003
148	0.01285366847
149	0.01273697038
150	0.01261936287
151	0.01257764256
152	0.01240497959
153	0.01228576393
154	0.01216350639
155	0.01200639989
156	0.01190318406
157	0.01176841509
158	0.01169468254
159	0.01162826769
160	0.01150168977
161	0.01127190257
162	0.01120732775
163	0.01110897554
164	0.01104010244
165	0.01095293385
166	0.01075439313
167	0.01060913134
168	0.01045276352
169	0.01024159745
170	0.01013728108
171	0.01006304892
172	0.01002628804
173	0.009970475166
174	0.009890015374
175	0.009763502377
176	0.009653392839
177	0.009588428375
178	0.009492753488
179	0.009415469232
180	0.009352072369
181	0.009285539384
182	0.009252230981
183	0.009229039595
184	0.009179381489
185	0.009095803327
186	0.008890387083
187	0.008837126545
188	0.008701390218
189	0.008617083792
190	0.008471156443
191	0.008412799158
192	0.008340533048
193	0.008250238483
194	0.008198494755
195	0.008080090501
196	0.00802679368
197	0.0079631788
198	0.00789110174
199	0.007827562152
